2884;3060;2620;2858;2711
2154;2330;1935;2043;2023
1105;1091;1479;1153;1256
261;437;195;169;89
534;710;316;423;403
759;935;667;649;754
1335;1511;1105;1224;1204
1489;1605;1522;1379;1493
532;708;314;422;401
1638;1814;1254;1373;1466
1563;1739;1471;1453;1558
530;706;312;420;399
686;813;950;734;837
286;462;406;176;290
1467;1643;1444;1356;1470
1575;1751;1482;1464;1570
224;400;345;113;227
595;547;401;570;422
602;779;384;492;472
1398;1375;1772;1446;1549
1304;1480;1075;1194;1173
512;475;332;487;340
3287;3264;3662;3336;3438
291;294;518;266;295
713;889;724;602;716
425;601;56;358;252
876;1052;775;766;862
908;1084;690;797;777
308;310;534;282;311
888;1064;786;777;873
2030;2206;1545;1652;1858
394;570;31;326;221
312;314;539;287;316
1236;1413;1018;1126;1106
1708;1884;1490;1598;1814
827;880;1090;875;978
1213;1389;995;1103;1082
2029;2205;1550;1657;1857
688;864;425;663;516
1489;1665;1397;1379;1484
1721;1897;1502;1610;1837
1242;1418;1023;1131;1111
653;829;435;542;522
1487;1664;1395;1377;1482
1224;1400;1005;1113;1093
2060;2236;1796;1724;1887
1222;1398;1004;1111;1091
477;653;259;367;346
1479;1655;1387;1369;1474
1227;1403;1008;1116;1096
2098;2274;1834;2073;1925
585;761;367;474;454
495;671;277;385;365
1465;1641;1363;1355;1451
1236;1412;1018;1126;1106
1226;1402;1007;1115;1095
1999;2175;1735;1648;1826
1518;1694;1426;1408;1513
1679;1763;1913;1680;1830
1531;1707;1439;1421;1526
1216;1392;998;1105;1085
1751;1927;1533;1641;1864
1148;1201;1383;1149;1299
1466;1642;1364;1356;1452
1729;1905;1511;1619;1845
1232;1408;1014;1121;1101
1130;1184;1365;1131;1281
1473;1650;1372;1363;1459
1225;1401;1006;1114;1094
1140;1193;1375;1141;1291
1504;1680;1412;1394;1499
2040;2216;1543;1650;1868
2037;2213;1562;1669;1865
1242;1295;1476;1243;1393
1214;1391;996;1104;1084
1504;1680;1403;1394;1490
2067;2243;1803;1731;1894
1149;1202;1383;1150;1300
1286;1462;1068;1176;1155
1496;1672;1394;1385;1481
1281;1457;1063;1171;1150
1495;1671;1394;1385;1481
1723;1899;1505;1612;1839
1152;1205;1386;1152;1303
1970;2146;1706;1622;1798
1264;1440;1046;1154;1133
1453;1629;1351;1343;1439
2034;2210;1554;1662;1861
1293;1469;1075;1183;1162
1232;1285;1466;1233;1383
1457;1633;1239;1347;1326
1483;1659;1381;1373;1469
1145;1198;1380;1146;1296
1295;1471;1077;1185;1164
1722;1898;1504;1611;1838
1333;1509;1115;1223;1202
1160;1213;1394;1160;1311
325;206;552;300;328
1323;1499;1104;1212;1192
2014;2190;1552;1660;1841
311;219;538;286;315
407;34;633;381;410
2080;2256;1816;1744;1907
1159;1213;1394;1160;1310
1334;1510;1116;1224;1203
1336;1512;1117;1225;1205
2084;2260;1820;1748;1912
1173;1226;1407;1174;1324
417;470;791;465;568
1328;1504;1110;1218;1197
1178;1231;1413;1179;1329
1215;1268;1449;1215;1366
1711;1887;1475;1600;1686
1154;1208;1389;1155;1305
622;695;814;580;694
1316;1492;1098;1206;1186
1715;1891;1479;1605;1691
1349;1525;1131;1239;1218
1172;1226;1407;1173;1324
407;460;781;455;558
419;302;360;394;278
373;549;193;348;201
1251;1304;1485;1252;1402
1253;1429;949;1129;1080
2754;2930;2298;2406;2582
474;518;699;412;526
601;777;337;575;428
455;341;340;430;314
1157;1210;1392;1158;1308
319;89;545;293;322
1144;1197;1379;1145;1295
602;778;338;577;429
2989;3165;2725;2964;2816
2752;2928;2247;2355;2579
614;790;615;503;617
527;489;332;501;354
267;107;494;242;270
2759;2935;2255;2362;2586
