ID;Name;Latitude / Longitude;Adresse;Storetype;;;
1306887033;Rossmann;6.864901/51.181447;Altenbr¸ckstraﬂe 15;chemist;;;
4262870488;Mein Frisˆr;6.834143/51.204749;None None;hairdresser;;;
5557476143;Tomys Thai Massage;6.880423/51.153625;Corellistraﬂe 6-8;massage;;;
3067669706;Boutique Highlights;6.809198/51.225225;Albertstraﬂe 113;boutique;;;
1561453977;Eis-Cafe Capri;6.772381/51.224085;Berger Straﬂe 29;convenience;;;
4262876395;Galaxy GmbH;6.834369/51.204570;None None;mobile_phone;;;
674253738;None;6.793130/51.235399;None None;kiosk;;;
4263272974;None;6.828998/51.209407;None None;tailor;;;
369377178;None;6.861731/51.235414;None None;kiosk;;;
1306887047;Rossmann;6.774548/51.272022;Unterrather Straﬂe 179;chemist;;;
3070829337;Media Markt;6.827694/51.235435;Metro-Straﬂe 16;electronics;;;
5564202827;Sanit‰tshaus Binn;6.805074/51.226816;Birkenstraﬂe 79;medical_supply;;;
674490499;TAX Fashion;6.838699/51.201289;Gumbertstraﬂe 133;clothes;;;
3514046257;Gazolin;6.775470/51.225839;Hunsr¸ckenstraﬂe 37;clothes;;;
4764899498;Bogner;6.767732/51.247246;None None;clothes;;;
2176657307;Zenger;6.745986/51.230412;None None;boutique;;;
4764899501;Rene Lezard;6.767779/51.247365;None None;clothes;;;
4933837013;Vape Company;6.837245/51.201502;Gumbertstraﬂe 118;e-cigarette;;;
7006682706;Visum;6.790673/51.220984;Karlstraﬂe 31;travel_agency;;;
3514046258;Passion Cut;6.775464/51.225885;Hunsr¸ckenstraﬂe 35;hairdresser;;;
674490500;Walgenbach;6.840851/51.200449;None None;department_store;;;
2176657323;monsoon;6.746139/51.230479;None None;furniture;;;
3514046259;U.S. Nails;6.775742/51.225950;Hunsr¸ckenstraﬂe 46;beauty;;;
4767958267;Friseur am Graf Adolf Platz;6.775811/51.218288;None None;hairdresser;;;
4935111879;Amplifon;6.859071/51.236757;None None;hearing_aids;;;
676073053;Edeka Stockheim im Bahnhof;6.794349/51.219417;Konrad-Adenauer-Platz 14;supermarket;;;
2190728098;Vino Tinto;6.792591/51.235254;Bagelstraﬂe 124;beverages;;;
4935763005;Bijou Brigitte;6.780975/51.239476;Goebenstraﬂe 1a;jewelry;;;
4767958822;Hˆrger‰te Aumann;6.777122/51.218300;None None;hearing_aids;;;
7012335987;Coelven;6.799302/51.237694;None None;bakery;;;
676073068;Backwerk;6.793251/51.220190;Konrad-Adenauer-Platz 14;bakery;;;
4767958921;Lederstudio D¸sseldorf;6.775738/51.218272;None None;clothes;;;
2206932165;Ra&Ge Notebookservice GmbH;6.792473/51.223768;Klosterstraﬂe 83;computer;;;
7012512354;HAIRliche Zeiten;6.876200/51.149956;Kammerrathsfeldstraﬂe 78;hairdresser;;;
4935816130;Almudena Sim√≥n S√°nchez;6.779920/51.239254;None None;jewelry;;;
2236652077;Kaffeeb¸dchen;6.822291/51.254834;Rather Broich 153a;kiosk;;;
3514130273;Kiosk;6.756998/51.212365;Gladbacher Straﬂe 57;convenience;;;
4767959029;Shop & Go;6.777111/51.218409;None None;kiosk;;;
676073073;Brezel Bub';6.794030/51.219726;None None;bakery;;;
7022099398;Plein Elektro;6.783582/51.236758;None None;electronics;;;
3515330943;Markt-Halle;6.777925/51.206836;Brunnenstraﬂe 15;kiosk;;;
7022290161;Pelzankauf;6.782273/51.216774;Corneliusstraﬂe 3;clothes;;;
4935820387;Atelier Marco Custoza;6.780502/51.238711;None None;hairdresser;;;
2238680623;Foto Goertz;6.778534/51.233868;Kaiserstraﬂe 23;photo;;;
4767959106;Geers;6.777111/51.217847;Friedrichstraﬂe 6;optician;;;
7022290162;Gini's Nails;6.782278/51.216871;Corneliusstraﬂe 3;beauty;;;
676073085;Tchibo;6.793645/51.219974;Konrad-Adenauer-Platz 14;coffee;;;
3516651664;Sylvia Hadasch;6.779813/51.238025;Nordstraﬂe 55;clothes;;;
4767959763;Goldschmiede Klaus Feld;6.776983/51.216105;Friedrichstraﬂe 28a;jewelry;;;
4935820388;roberta;6.780578/51.238646;None None;clothes;;;
4944020347;None;6.872504/51.164061;Gˆrresstraﬂe 5;toys;;;
7022290163;City ƒnderungsschneiderei;6.782286/51.217067;Corneliusstraﬂe 1;tailor;;;
676073100;T.H. Kleen;6.795117/51.219253;None None;tobacco;;;
2240960524;Mischke Karosserieservice;6.812303/51.263260;None None;car_repair;;;
3516651665;TeeGschwendner D¸sseldorf-Pempelfort;6.779530/51.238141;Nordstraﬂe 54;tea;;;
2247266233;Vodafone;6.732728/51.235448;None None;mobile_phone;;;
4767960967;Yalcin Feinkost;6.777175/51.217685;None None;greengrocer;;;
4963773465;Marrying;6.787198/51.224375;Immermannstraﬂe 18;jewelry;;;
676397467;Trinkhalle;6.830391/51.207814;Reisholzer Straﬂe 33;kiosk;;;
2264681530;None;6.826080/51.228572;None None;kiosk;;;
4767960992;Handmade Nails & Lashes;6.777159/51.217326;None None;beauty;;;
7022290164;Phoneland;6.782297/51.217120;Corneliusstraﬂe 1;mobile_phone;;;
3516651666;Tara Moden;6.779550/51.238197;Nordstraﬂe 54;clothes;;;
2281186939;None;6.832621/51.227847;None None;kiosk;;;
4971088118;Kiosk am Nordstrand;6.890190/51.197939;Groﬂer Torfbruch 16a;kiosk;;;
7022290165;Kamps;6.782277/51.217178;Corneliusstraﬂe 1;bakery;;;
676871188;None;6.812819/51.222243;None None;car;;;
4767961139;Unique Art of Hair;6.777222/51.217325;None None;hairdresser;;;
4767964037;Vodafone Friedrichstraﬂe;6.777006/51.216986;None None;mobile_phone;;;
7022302098;Explorer;6.782239/51.217391;H¸ttenstraﬂe 17;travel_agency;;;
3516709652;Beauty Solution;6.780226/51.203606;Himmelgeister Straﬂe 7;hairdresser;;;
677451153;A&A Digitalprint;6.790654/51.221007;Karlstraﬂe 31;copyshop;;;
2291280503;Oebel;6.776627/51.214352;None None;bakery;;;
3516738486;Galeria Kaufhof an der Kˆ;6.777869/51.225749;Kˆnigsallee 1-9;department_store;;;
4767964038;Kodi;6.777019/51.216921;None None;variety_store;;;
4978913249;TEAMATE;6.791738/51.221660;Immermannstraﬂe 65c;beverages;;;
677747895;Simon's Brotkˆrbchen;6.781567/51.219050;Berliner Allee 61;bakery;;;
2291280548;None;6.776591/51.214508;None None;vacant;;;
4767968128;None;6.776992/51.215163;None None;vacant;;;
7022323890;Smilephone;6.782606/51.240956;None None;mobile_phone;;;
3518762836;B¸dchen;6.775728/51.225991;Hunsr¸ckenstraﬂe 46;kiosk;;;
7022570314;Back Cafe;6.781472/51.217870;None None;bakery;;;
4981949022;Autotechnik Kadoch;6.776770/51.264274;None None;car_repair;;;
7023300896;Uli Schott;6.780509/51.218472;H¸ttenstraﬂe 5;clothes;;;
