ID;Name;Long/Lat;Adresse;Storetype855029552;Friedhof Hassels Haupteingang;6.873510/51.172734;None None;surface
2949113757;None;6.814882/51.191389;None None;underground
6967534165;None;6.745828/51.213684;None None;underground
1540430601;None;6.724301/51.245824;Elfgenweg 3a;underground
2949113775;None;6.814821/51.191610;None None;underground
7006270906;None;6.860969/51.192453;None None;underground
1544656517;None;6.790156/51.224427;None None;underground
2949266986;Zufahrt Tiefgarage;6.799556/51.253796;None None;underground
7039506130;None;6.779353/51.204084;None None;underground
1547267734;None;6.853008/51.207023;None None;underground
2957543070;None;6.884407/51.154504;Franz-Liszt-Straße 3a;underground
7040811839;Dagobert-Garage;6.777866/51.202742;None None;underground
1547829246;None;6.825967/51.179616;None None;underground
7098875433;None;6.783449/51.201825;None None;underground
2957543121;None;6.884066/51.154737;Franz-Liszt-Straße 1a;underground
1547829266;None;6.825837/51.179719;None None;underground
7137495921;None;6.880471/51.152973;Corellistraße 19;underground
1548562845;Deutsche Rentenversicherung Rheinland;6.778487/51.217842;None None;underground
2957554563;None;6.868214/51.152684;Haus-Endt-Straße 21a;underground
7140177297;None;6.824975/51.181694;None None;underground
1556098269;None;6.814999/51.199610;None None;underground
2957554564;None;6.866813/51.153472;Robert-Hansen-Straße 56a;underground
1558566587;None;6.872810/51.176848;None None;underground
7161320399;P3;6.742945/51.256480;None None;underground
1027933503;None;6.854956/51.206900;None None;underground
3577432103;None;6.765055/51.273806;None None;underground
364813994;Kö- Galerie;6.780100/51.222822;None None;underground
3577432104;None;6.765366/51.274115;None None;surface
1029852797;None;6.869119/51.181232;None None;underground
389908514;None;6.781860/51.239433;None None;multi-storey
1029852866;None;6.869963/51.181808;None None;surface
442686816;None;6.864037/51.184389;In der Donk 28a;underground
3578046834;None;6.767477/51.273089;None None;underground
1029852927;None;6.870636/51.182628;None None;underground
3578049496;None;6.769076/51.274736;None None;underground
442687109;None;6.864747/51.183638;None None;underground
1030998635;None;6.867865/51.183831;None None;underground
3578049498;None;6.768638/51.274858;None None;underground
472032294;Amts- und Landgericht Düsseldorf;6.806993/51.217231;None None;underground
3578761116;None;6.779074/51.238483;None None;surface
1031421318;None;6.862783/51.182271;None None;underground
473722988;Hofgarten Palais;6.785059/51.228304;None None;multi-storey
1032000712;None;6.862949/51.181350;Fürstenberger Straße 31;underground
486421904;InterContinental Hotel Düsseldorf;6.778100/51.220393;Königsallee 59;multi-storey
3582418499;None;6.769473/51.273981;None None;underground
60783101;Tiefgarage Universität;6.793297/51.188936;None None;underground
491574280;None;6.846744/51.208536;None None;surface
1033025726;None;6.900753/51.137750;None None;underground
3582418501;None;6.770127/51.274339;None None;underground
1039452085;None;6.874691/51.176281;None None;underground
3582418503;None;6.770633/51.274721;None None;underground
60835400;None;6.795240/51.189023;None None;underground
497313046;Sky Office;6.770967/51.247394;None None;underground
1041029107;None;6.876233/51.175059;None None;underground
3591680926;None;6.771204/51.275169;None None;underground
497333309;Falkenberg Center, ALDI Holthausen;6.831504/51.175783;None None;underground
1041311160;None;6.871488/51.182432;None None;underground
3591680930;None;6.770869/51.275593;None None;underground
559981363;None;6.788735/51.331458;None None;surface
1041311271;None;6.874230/51.179162;None None;underground
3591680932;None;6.770775/51.275712;None None;underground
1043169311;None;6.823262/51.189077;None None;underground
3608909912;None;6.817989/51.196138;Harffstraße 57;underground
628102579;None;6.832126/51.211129;None None;underground
1043822673;None;6.813795/51.190877;None None;underground
633353417;None;6.777742/51.253268;None None;underground
3622591510;Park One am Barbarossaplatz;6.753522/51.231417;Luegallee 69;underground
1046020673;None;6.818187/51.187425;None None;underground
634261721;Kennedydamm-Center;6.773123/51.250798;None None;underground
1050215980;None;6.868948/51.181586;None None;underground
3623138926;None;6.746681/51.237582;Peter-Roos-Straße 16a;underground
634580975;None;6.715926/51.239244;None None;underground
1064025496;None;6.794270/51.273871;None None;underground
634580976;None;6.715742/51.239125;None None;underground
3623169642;None;6.730419/51.241734;Stürzelberger Straße 17;underground
1064025610;None;6.795554/51.274699;None None;underground
637818787;None;6.829472/51.208120;None None;underground
1070775254;None;6.887278/51.162964;None None;underground
3623189963;None;6.734034/51.242414;None None;underground
640225690;None;6.820028/51.213340;None None;underground
1082793717;None;6.887048/51.163940;None None;underground
3623192736;None;6.729040/51.242704;Grevenbroicher Weg 25a;underground
640226939;None;6.822775/51.211618;None None;underground
1096744988;None;6.872774/51.162954;None None;underground
640227005;None;6.823460/51.211639;None None;underground
3630796871;None;6.821597/51.166365;None None;underground
1112086622;Jecht K & M;6.779970/51.217181;Luisenstraße 33;multi-storey
640227530;None;6.823199/51.212958;None None;underground
3633271515;None;6.829476/51.172061;None None;underground
653890248;None;6.839787/51.231550;None None;surface
1120102555;None;6.742508/51.254801;None None;surface
3638793209;Edeka Center Celik Wersten;6.816400/51.195844;None None;underground
653900766;None;6.827971/51.227707;None None;surface
3659567871;None;6.840299/51.209284;None None;underground
1126460541;None;6.778196/51.270937;None None;underground
1141449595;None;6.807189/51.214283;None None;surface
3659567872;None;6.841786/51.209284;None None;underground
655300808;None;6.841187/51.231344;None None;surface
3693818636;None;6.733147/51.325660;None None;underground
1141449910;None;6.807167/51.214451;None None;surface
655341475;Haus 17-18-20-21-22;6.843848/51.241593;None None;surface
3693818660;None;6.731911/51.326200;None None;underground
1141976554;None;6.805533/51.215122;None None;surface
3693867139;None;6.746675/51.318134;None None;underground
655341479;Haus 19-41-42;6.844078/51.241484;None None;surface
3693867159;None;6.745725/51.318273;None None;underground
655341500;Haus 17-18-20-21-22;6.842814/51.241637;None None;surface
1150728391;None;6.868700/51.182595;None None;underground
3693939404;None;6.744581/51.319542;None None;underground
1163251685;None;6.787830/51.222795;None None;underground
3701650320;None;6.794497/51.229382;None None;underground
655341509;Haus 17-18-20-21-22;6.842747/51.241913;None None;surface
1165725210;None;6.903285/51.133333;None None;underground
3706569111;None;6.782216/51.252459;None None;underground
655341520;Haus 17-18-20-21-22;6.843176/51.242146;None None;surface
1165725261;None;6.903502/51.132486;None None;underground
3717587730;None;6.894417/51.200709;None None;underground
1165842329;None;6.903251/51.130857;None None;underground
3731748058;None;6.842029/51.206399;None None;underground
655363460;Haus 10-11-27-28-29;6.841821/51.242977;None None;surface
1172838885;None;6.910301/51.137886;None None;underground
3734789243;None;6.768365/51.274569;None None;underground
1559241424;None;6.864739/51.181084;None None;underground
1561083885;None;6.716406/51.240122;None None;underground
4904879092;None;6.782805/51.251972;None None;underground
1561119929;None;6.785399/51.276581;None None;underground
4947188423;None;6.835504/51.204353;None None;underground
1561978733;None;6.741050/51.300833;None None;underground
4947189000;None;6.837600/51.202268;None None;underground
1562356999;None;6.716218/51.229896;None None;underground
5032177618;None;6.795930/51.235137;Toulouser Allee 21a;underground
1565347719;None;6.778546/51.198582;Merowingerstraße 136a;underground
5033006789;None;6.798415/51.192176;None None;underground
1565420311;None;6.779716/51.199700;None None;underground
5033006790;None;6.798242/51.191751;None None;underground
1565453702;None;6.780615/51.199059;None None;underground
5033006791;None;6.799346/51.191313;None None;underground
1565454156;None;6.780834/51.199563;None None;underground
5033006792;None;6.798487/51.191268;None None;underground
1565454459;None;6.778714/51.199821;Merowingerstraße 120a;underground
5033110040;None;6.811325/51.274191;None None;underground
5085698828;Belsenpark;6.743605/51.233344;None None;underground
1569331819;None;6.798732/51.250503;None None;underground
5085791560;None;6.743252/51.233368;None None;underground
1569332204;None;6.795174/51.251207;None None;underground
5085961267;None;6.741699/51.234133;None None;underground
1573157937;None;6.744713/51.259023;None None;multi-storey
5085998460;None;6.708595/51.237877;None None;underground
1573158039;None;6.744800/51.259246;None None;multi-storey
5109661165;None;6.831330/51.179261;None None;underground
1587411385;None;6.796970/51.250394;None None;underground
1592959692;None;6.757655/51.233095;None None;surface
5138620015;None;6.804640/51.217366;None None;underground
5143210221;None;6.772937/51.223157;Carlsplatz 6b;surface
1594591162;None;6.812389/51.225049;None None;multi-storey
1596111360;None;6.886808/51.143710;None None;underground
5198407324;None;6.796044/51.234129;None None;underground
1596277978;None;6.884583/51.145852;None None;underground
5243541744;Park One am Barbarossaplatz;6.753349/51.231294;None None;underground
